QED,TPSA,permeability
0.50959273,110.38000000,-6.21999980
0.33087297,29.10000000,-3.85999990
0.79814441,41.93000000,-4.09000020
0.42230640,56.19000000,-5.93540910
0.72104309,46.26000000,-4.84000020
0.26527808,173.98000000,-6.54000000
0.25771352,191.05000000,-6.11999990
0.32039016,163.73000000,-6.52000000
0.45312403,92.04000000,-4.57999990
0.05405684,324.44000000,-6.65000010
0.65829970,99.18000000,-6.11999990
0.34109791,88.18000000,-5.79000000
0.40113981,88.18000000,-5.29000000
0.25990823,88.18000000,-4.73999980
0.20465914,149.04000000,-4.34999990
0.28758176,149.04000000,-4.30999990
0.24736673,131.99000000,-4.28000020
0.20888598,131.99000000,-4.40000010
0.22332060,141.22000000,-4.51000020
0.14825650,150.45000000,-4.15000010
0.23285924,131.99000000,-4.02000000
0.21827795,131.99000000,-4.00000000
0.23285924,131.99000000,-4.13999990
0.21915219,131.99000000,-4.44000010
0.59511657,111.63000000,-6.21000000
0.67860710,57.53000000,-4.98000000
0.51015689,72.72000000,-6.12500000
0.59927145,107.22000000,-5.28000020
0.23787251,193.91000000,-5.78000020
0.28661244,175.83000000,-6.07000020
0.34130592,81.00000000,-6.51000020
0.29838235,81.00000000,-5.69999980
0.66785336,30.49000000,-4.09999990
0.46541229,129.78000000,-5.69000010
0.38149443,60.69000000,-4.82999990
0.67314273,92.42000000,-5.28000020
0.46034130,76.76000000,-4.67999980
0.78854041,96.22000000,-4.73999980
0.27633676,165.81000000,-5.82000020
0.27633676,165.81000000,-5.82000020
0.27633676,165.81000000,-5.82000020
0.27633676,165.81000000,-5.82000020
0.32276337,157.02000000,-5.82000020
0.32276337,157.02000000,-5.82000020
0.32276337,157.02000000,-5.30000020
0.76966211,75.63000000,-4.40999980
0.32276337,157.02000000,-5.82000020
0.32276337,157.02000000,-5.82000020
0.32276337,157.02000000,-5.82000020
0.32276337,157.02000000,-5.30000020
0.32276337,157.02000000,-5.82000020
0.59502620,49.33000000,-4.44000010
0.37653834,148.23000000,-5.82000020
0.37653834,148.23000000,-5.82000020
0.37653834,148.23000000,-5.82000020
0.37653834,148.23000000,-5.82000020
0.37653834,148.23000000,-5.30000020
0.37653834,148.23000000,-5.30000020
0.37653834,148.23000000,-5.00000000
0.37653834,148.23000000,-5.82000020
0.37653834,148.23000000,-5.82000020
0.37653834,148.23000000,-5.82000020
0.37653834,148.23000000,-5.82000020
0.37653834,148.23000000,-5.82000020
0.37653834,148.23000000,-5.82000020
0.42619779,139.44000000,-5.26000020
0.42619779,139.44000000,-5.82000020
0.42619779,139.44000000,-5.30000020
0.42619779,139.44000000,-5.30000020
0.42619779,139.44000000,-4.69999980
0.42619779,139.44000000,-5.30000020
0.42619779,139.44000000,-5.00000000
0.42619779,139.44000000,-5.30000020
0.44549400,130.65000000,-5.09999990
0.44549400,130.65000000,-5.15000010
0.44549400,130.65000000,-5.30000020
0.44549400,130.65000000,-5.30000020
0.44549400,130.65000000,-5.30000020
0.48055417,63.83000000,-5.17000010
0.69601644,94.83000000,-4.65999980
0.45939576,129.78000000,-5.67999980
0.74852971,49.33000000,-4.34000020
0.83846233,6.48000000,-4.85099980
0.76780651,68.53000000,-4.69000010
0.22887514,210.51000000,-6.17000010
0.45541450,69.06000000,-4.92999980
0.81380951,90.71000000,-4.38999990
0.74728596,67.87000000,-4.11000010
0.16361068,228.97000000,-7.11999990
0.38448821,132.96000000,-7.38999990
0.63547707,144.23000000,-7.34000020
0.36687292,114.72000000,-4.52000000
0.34741944,121.07000000,-4.19999980
0.63422149,121.07000000,-4.54000000
0.67797750,86.93000000,-5.30000020
0.46842995,121.07000000,-4.32999990
0.86136721,99.60000000,-4.71000000
0.36473630,59.06000000,-6.15999980
0.85530206,92.50000000,-5.21000000
0.55303153,132.96000000,-6.15249970
0.64146812,81.95000000,-5.41099980
0.88107781,46.53000000,-4.65999980
0.63839388,49.36000000,-4.32999990
0.74211391,86.99000000,-4.65500020
0.64393929,91.42000000,-5.80000020
0.78317001,39.66000000,-4.67999980
0.84225598,57.15000000,-5.34000020
0.51715593,55.38000000,-4.73000000
0.67487829,112.73000000,-5.69999980
0.55372996,75.61000000,-4.55000020
0.65266147,77.38000000,-4.51000020
0.70926492,112.74000000,-5.57999990
0.49831715,56.79000000,-4.54500010
0.34329104,107.23000000,-6.69999980
0.27997456,100.18000000,-4.65000010
0.34160681,120.12000000,-7.05000020
0.32925043,119.54000000,-6.15000010
0.39708379,124.29000000,-5.84000020
0.72656218,106.95000000,-4.98700000
0.69461168,94.83000000,-4.71999980
0.29919084,125.00000000,-5.34999990
0.75350792,47.56000000,-4.51000020
0.35466264,160.82000000,-6.40000010
0.87760162,45.59000000,-4.69000010
0.14643205,268.68000000,-7.61999990
0.58307345,100.52000000,-5.40000010
0.15551124,195.43000000,-4.96000000
0.34149751,150.01000000,-5.32999990
0.66180939,62.30000000,-4.92800000
0.64684526,62.04000000,-4.86000010
0.55340461,113.42000000,-4.51000020
0.86058994,49.77000000,-4.69999980
0.78713956,97.97000000,-4.75000000
0.54058822,141.31000000,-5.37817100
0.68213451,80.47000000,-4.57000020
0.83062267,103.04000000,-4.61000010
0.56247224,72.68000000,-4.34999990
0.18951236,137.50000000,-5.88000010
0.70058410,79.11000000,-5.38999990
0.67909378,84.90000000,-4.92000010
0.41410869,57.53000000,-5.55000020
0.47197547,129.78000000,-5.34999990
0.41990488,63.95000000,-4.57999990
0.61060354,37.30000000,-4.00500010
0.17980105,154.10000000,-5.48000000
0.44766184,140.14000000,-5.36999990
